DEPTH,CON_MEAN_DYNA,DIS_MEAN_DYNA,HOM_MEAN_DYNA,ENG_MEAN_DYNA,COR_MEAN_DYNA,ASM_MEAN_DYNA,ENT_MEAN_DYNA,CON_SUB_DYNA,DIS_SUB_DYNA,HOM_SUB_DYNA,ENG_SUB_DYNA,COR_SUB_DYNA,ASM_SUB_DYNA,ENT_SUB_DYNA,CON_X_DYNA,DIS_X_DYNA,HOM_X_DYNA,ENG_X_DYNA,COR_X_DYNA,ASM_X_DYNA,ENT_X_DYNA,CON_Y_DYNA,DIS_Y_DYNA,HOM_Y_DYNA,ENG_Y_DYNA,COR_Y_DYNA,ASM_Y_DYNA,ENT_Y_DYNA
2195.84186,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.86726,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.89266,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.91806,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.94346,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.96886,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.99426,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2196.01966,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2196.04506,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2196.07046,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2196.09586,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2196.12126,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
